Tickers,Amount,PricePerShare,PricePerShare(Euro),Cost,PriceToday,ValueToday
JNJ,16,141.37,128.52,2261.92,148.88,2382.08
NOK,835,4.22,3.61,3523.7,3.91,3264.85
T,148,30.37,27.61,4494.76,28.51,4219.4800000000005
GOOG,3,1400.2,1272.91,4200.6,1469.6,4408.799999999999
PYPL,37,169.77,154.34,6281.490000000001,197.03,7290.11
DIS,75,121.28,103.66,9096.0,124.08,9306.0
AMD,123,78.5,67.1,9655.5,81.99,10084.769999999999
AMZN,6,3066.37,2620.83,18398.22,3148.73,18892.38
MSFT,96,204.83,175.07,19663.68,210.33,20191.68
NVDA,40,437.08,373.58,17483.2,541.22,21648.800000000003
TSM,389,65.1,55.64,25323.899999999998,81.07,31536.229999999996
TSLA,75,348.43,297.81,26132.25,429.01,32175.75
